"","R0.1.1","R0.2.1","R0.3.1","R0.5.1","R0.6.1","R0.7.1","R0.8.1","R0.9.1","R0.10.1","PR.2.1","PR.3.1","PR.4.1","PR.5.1","PR.7.1","PR.8.1","PR.9.1","PR.10.1","ER.1.1","ER.5.1","ER.6.1","ER.7.1","ER.10.1"
"IGF2BP2",0.539142999,-0.127924542,2.091202928,1.607263862,1.411850956,-1.526224461,0.861994498,0.627952418,-0.130391447,-0.304470202,-0.682318671,-0.741154113,-0.977375748,-0.365262755,0.604721818,-1.827299529,-0.493372998,-0.37394812,-0.811201238,-1.547074674,0.99447637,-0.289986664
"ZNF638",0.167222764,0.443758131,0.747954773,0.970799487,1.15091567,-0.300366356,0.435511968,0.070711947,0.095668383,0.486345851,-0.541859783,-0.000837166,-0.395290045,-0.126154869,-0.383786111,-0.078624967,-0.270321457,0.185970645,0.765984948,-0.057137333,0.429539891,-0.212483696
"SART3",0.561813328,0.544273642,1.162613425,1.271168713,0.834268896,0.117947384,0.971473219,-0.127460955,-0.153764778,0.230307088,-0.514335357,0.543607608,0.024116874,0.009604785,-0.358038368,-0.273206365,-0.101471943,0.224765025,0.640387564,-0.518721644,-0.323154157,-0.169153576
"MKRN2",0.973831828,1.099811158,-0.943059632,0.189855505,-0.436691596,0.541581954,-0.704110399,0.111788542,0.419038693,0.360555455,-0.258058023,-0.074284673,0.218670781,0.816254973,-0.530003473,-0.232204828,0.035174057,0.690375928,0.054012639,-0.281974226,-0.072027989,0.082842929
"RBM7",0.177124216,0.687273431,0.07312835,0.267944016,0.600932228,-0.150540014,-0.111630401,-0.02950114,0.121034846,0.011327474,0.123718176,0.297774609,0.455906836,-0.180691558,0.187720121,-0.326715515,0.00060768,0.590228336,0.811158732,-0.099019477,0.095228712,-0.329704459
"RBMS2",-0.139699875,-0.332695521,-0.8024099,0.070329961,0.481918982,-0.543668468,0.534090895,-0.510650296,0.343250683,-0.12103245,0.106483157,-0.520006831,-0.148481234,0.0444827,1.43167777,0.201375752,-0.114292074,0.667859017,-0.058972789,0.091146529,0.305863778,0.01805996
"SNRPA",-0.333015214,-0.323509015,0.28503928,-0.140701227,-0.656553658,-0.152390889,0.547390134,-0.677637916,0.040799921,-0.220608421,0.412315328,0.17675521,0.179196574,-0.397975973,0.041987391,-0.109710167,-0.305180709,-0.227553464,0.082505493,0.98788273,-0.374639307,-0.269619709
"SYNJ2",-0.423672751,-0.564387095,-0.814690787,-0.533524148,-0.56839436,-0.144038811,-0.925934214,-0.810095833,-0.331161446,0.677924736,-0.511472023,-0.35788186,0.257687998,-0.302890703,-0.134063176,0.781103896,0.427962808,-0.248320135,-0.257125715,-0.500324009,0.296022101,0.042809821
"CNOT4",0.342629734,0.24649062,0.343077568,0.687839607,0.59382917,0.195915817,0.018738903,0.004519663,0.656144025,0.18215394,-0.031553511,-0.29959438,0.277025531,0.292360773,-0.352758222,0.469917241,-0.210447115,-0.086453027,0.152888258,-0.133178974,0.217158047,-0.084804446
"YTHDC1",0.36577147,0.404548339,0.833390874,0.876111909,1.061891897,-0.347016785,0.272731895,0.244425248,-0.09768101,0.76608732,-0.440378058,0.654115273,-0.309670616,-0.128251433,-0.373431544,-0.074381785,-0.579781867,0.401858591,0.806477282,-0.027221894,0.501876395,-0.031496632
"PPIE",0.142898613,0.572520551,0.366047991,0.795866272,1.079576826,-0.387272093,0.367642034,0.17285926,0.033676266,0.343234575,-0.375614114,0.291446929,-0.219631528,-0.061694901,0.134459924,0.094193947,0.100747943,0.197043975,0.963116954,0.459503204,0.572739667,0.007142884
"CHERP",0.421030043,0.789833885,0.67229626,0.809904448,0.955189954,0.178751723,0.278405978,0.500575422,-0.092421331,0.355112879,-0.599687615,0.387639156,-0.006659292,-0.121458513,0.278105191,-0.009827919,0.074011406,-0.079015618,1.350651704,-0.484291578,0.342955752,-0.139270917
"RBM22",0.499770399,0.475160673,0.319255813,0.565900392,0.600531576,-0.059250924,0.037246482,-0.100760269,0.404556802,0.506030419,-0.394679469,0.789838116,-0.371041606,-0.209210686,0.141121913,-0.145050448,-0.550705767,-0.070536596,0.27342426,0.364573897,0.41663021,-0.374760312
"KHSRP",0.767939315,0.008480095,0.157436474,1.021448341,0.49730763,-0.075225746,0.361130567,-0.653339994,0.161309383,0.602528277,-0.667830631,0.191761315,-0.554039814,-0.765796176,-0.680653504,-0.343065053,-0.165256215,-0.121485103,0.146269096,-0.090722863,-0.027039349,-0.105891619
"FUS",0.527244403,0.57258231,0.975643471,1.225297189,1.502591526,0.280815443,0.816880377,0.343737132,-0.028010814,0.151894118,-0.934147604,0.578870925,-0.307002144,-0.184596466,0.005508948,-0.443692427,-0.333675475,0.646011857,0.852079851,0.193370375,-0.081904654,-0.42539045
"PABPC4",0.529387887,-0.174853165,1.063265271,1.259869936,0.559402877,0.839784886,0.057294372,0.290155538,-0.24724998,-0.07818306,-0.080987983,0.220108748,-0.665339385,0.209805603,0.42521298,-0.217918924,-0.776287329,0.046891459,1.333164504,-0.249666206,0.817268921,-0.496567307
"RBM27",0.440328169,0.271497428,0.27955304,0.151707885,0.769567637,0.651235257,0.276327012,0.260772152,0.545739866,0.334522533,-0.317327253,0.773369483,7.17e-05,0.348702603,0.076127944,-0.148710737,-0.484107093,-0.364784742,0.188639188,0.042973695,0.437456882,-0.431296464
"HNRNPC",0.598041341,0.36740183,0.567450633,0.666829574,0.663712714,-0.092078464,-0.049907934,0.098304107,0.185117471,0.755503432,-0.479196634,0.441759226,-0.183947786,-0.100937917,-0.045912682,-0.355854958,-0.292652285,0.130000804,0.969248415,-0.101629024,0.357047539,-0.511813755
"HNRNPH3",0.663835777,0.337330907,1.025648742,0.857083245,0.919516819,-0.294354678,0.424135981,-0.090385626,-0.016534567,0.474210896,-0.280156126,0.114207728,-0.237303255,-0.132906932,-0.132365356,-0.045641088,-0.289417962,0.406748921,1.390866213,0.156088128,0.211937989,-0.099028912
"SETD1A",0.154747551,-0.361772261,0.206186929,0.327927752,-0.070661694,-0.325357977,0.193650612,-0.350209928,0.259563271,0.277595569,-0.07705031,0.177276776,-0.04376678,-0.095722651,0.096277032,0.519545942,-0.072220394,0.467377138,0.073404844,0.036411472,-0.412951855,0.185831561
"CIRBP",-0.182202875,0.826785782,0.42466275,-0.736886112,-0.525112339,-0.40424431,0.193524056,-0.348987859,0.345172824,1.16451034,-1.696766036,0.293802754,-0.476198475,-0.278746489,-1.240510952,-0.984961702,-0.198549616,-0.266396589,-0.39254031,-0.44235961,-0.60824865,-0.69422841
"HNRNPM",0.314198952,0.197102596,0.453353956,0.647935093,0.964905902,0.05298821,0.164448065,0.202191034,0.149557061,0.478746635,-0.109262971,0.50149898,-0.400879031,0.000369288,0.021116253,0.406366718,0.094817567,-0.360759127,0.809954206,-0.02614613,0.380146375,-0.188445767
"TRMT2A",-0.126174937,0.374597968,0.094004086,0.064750798,0.764694374,0.047101645,-0.305837461,-0.324275944,0.536211549,0.119500487,0.02955045,-0.264767172,0.581389797,0.947832853,0.817627457,-0.517455408,-0.194064838,0.582158516,0.220923314,-0.403619627,0.018145965,-0.458579296
"SF3A1",-0.023544764,0.605330538,0.42081591,0.704416983,0.764614252,-0.216247354,0.119381982,0.102935961,0.031032792,0.362944285,-0.221443307,0.355522432,-0.225624004,-0.116267606,-0.398772699,-0.145511517,-0.23013786,0.150231714,0.563678315,-0.01626155,0.075170834,-0.151573092
"SNRPD3",-0.326991883,-0.783086636,0.142876666,-0.085214169,0.522691654,-0.042884989,0.666024412,-0.489124543,-0.301315397,-0.166885924,1.306897222,-0.4289763,-0.035068707,-0.717779689,0.867786913,-0.184776869,-1.224467587,0.045951098,0.275598274,0.231404706,1.0465609,-0.688403446
"POLDIP3",0.50322118,0.072912717,-0.338448967,0.064777546,-0.79706968,-0.714769784,0.300161179,-0.376865141,0.044262486,0.485694411,-0.398718994,0.174265937,-0.183480912,-0.242323573,0.316385806,0.320318713,-0.415168236,-0.273685909,-0.200654384,-0.017790401,0.294689199,-0.426619101
"ZC3H7B",-0.032945856,0.027674735,-0.363827894,0.006755691,-0.228923541,0.114409542,-0.217136012,-0.228561457,-0.668815591,-0.348658533,-0.215219422,0.009905304,0.966756965,-0.289435161,0.371239925,0.372219763,0.255093692,-0.381419661,-0.209131045,-0.09528062,0.352048356,-0.364894672
"RBM23",0.247200659,0.235265948,0.498005392,1.18570772,2.062858298,-0.362075203,0.36851114,0.066888442,0.10229578,0.204483625,-0.047086278,0.176293773,-0.107117244,-0.349922202,-0.010396194,0.372059944,-0.223568957,0.113869695,0.386414074,0.129056093,0.100457837,-0.04144492
"ZC3H14",0.168465843,0.78593972,0.017741549,-0.095959112,0.745242189,-0.122512931,-0.09155268,-0.191136351,0.625339961,0.6360215,-0.777197603,-0.066304848,-0.281894604,0.191704368,-0.566709747,0.165387449,-0.23670873,0.364333725,0.282565353,-0.067269813,-0.213949343,0.001157467
"ACIN1",0.534118428,0.684720035,0.615911551,0.83430178,1.104050911,-0.224331828,0.183933284,0.099115728,0.272932686,0.47821548,-0.922579226,0.444466503,-0.464956929,-0.09683734,-0.40804827,0.04900704,-0.379242676,0.328124159,0.563009549,-0.425837796,-0.117654372,-0.478966001
"PABPN1",0.855904751,0.608384624,0.621295228,0.226098655,0.838202195,-0.110537938,0.155671376,0.098576417,0.347625884,0.439133631,-0.799805692,0.194614965,-0.409897189,-0.312522098,-0.25884308,-0.399654431,-0.267875783,0.566384409,0.456195074,0.02068913,0.057315035,-0.454524282
"CSTF2",0.384866928,0.41999475,0.299342145,0.19798166,0.639290753,0.230936085,-0.018276627,0.419493932,0.016892507,0.642051432,-0.279847049,0.308415886,-0.103737075,0.22261144,-0.063655315,0.211570617,0.155868846,0.368058671,0.880792051,0.146272897,0.280613325,-0.539648827
"FMR1",0.951182961,-0.092091466,0.656417362,-0.242363398,0.01164746,0.211116631,-0.694074614,0.25766212,0.95092792,0.150405048,-0.55379574,-0.367174513,-0.027189788,1.14658608,0.234323889,0.040525093,-0.590011434,0.281890422,0.528040073,0.624677007,1.184146996,0.074231302
"HTATSF1",0.489063754,0.368688398,0.689995597,0.500688138,1.001981817,-0.155081792,-0.085168294,0.49314944,0.902963534,0.541103235,-0.680903624,0.427069149,0.786882816,-0.118660076,-0.052007624,-0.437561513,-0.376989632,0.015647524,0.838598904,0.209369591,0.077139652,-0.364990268
