"","R0.1.1","R0.2.1","R0.3.1","R0.5.1","R0.6.1","R0.7.1","R0.8.1","R0.9.1","R0.10.1","PR.2.1","PR.3.1","PR.4.1","PR.5.1","PR.7.1","PR.8.1","PR.9.1","PR.10.1","ER.1.1","ER.5.1","ER.6.1","ER.7.1","ER.10.1"
"CPEB4",5.67800052982588,6.29509612110683,5.33656203057229,5.03463323500366,5.5565694770718,6.30098393098009,5.06810492221723,6.33781883105722,6.7106479785876,6.41712014945336,6.86058891995103,6.34522013952672,5.78533177663979,5.96884686395271,6.2545579957755,5.63061233847939,5.54831274705359,4.37029054829952,4.68021849615377,6.17855011377444,5.43959362514924,6.41521268718816
"FXR1",7.38891277759435,7.56986212778569,7.58835077679967,7.87576206175675,7.82670320853082,7.68079272296396,7.60663388040819,8.22986726741779,7.96285822197152,7.22522853444636,7.87990843476847,7.74238637556545,7.85578582235874,7.93090265102676,7.30155656695359,7.38566215113147,7.79673685195972,7.9247487798532,7.43316661908748,7.93721360761572,7.52780394735393,7.16340060111949
"NCL",10.5844806311475,9.64899821804089,9.88775840130095,10.5487443363315,11.141569093007,10.960837655983,10.5313754571279,10.1430034048599,10.2638870993265,9.74567660499832,9.3662899485691,10.2900837900111,10.1544026153011,10.3448053279029,9.45598947881577,9.70992413388433,9.7678403017637,10.4490640778928,10.0669465639915,10.0987719273536,10.7647242723421,9.59201113074524
"SF3B6",6.64305002849268,6.48903127322546,7.40932895782542,7.00240362813574,6.79127447888285,5.39738565700021,7.14787446440027,7.10895211039516,7.13769613735232,5.91671515698057,6.54491627328064,6.04352047312707,6.96422505079309,6.95941379508384,5.97327210551204,6.5018391272704,7.0256927593545,7.24671372483252,7.19380835734531,6.6327238764229,7.30097716735354,6.21532872226584
"HDLBP",8.88952314397154,8.03581877581718,9.28929867794148,8.94036286167609,9.24288258705284,8.80077859811543,9.4718793580466,8.57737293334665,8.57156143618025,8.68879253319761,9.26367428335953,8.82853451309248,9.07860221477527,9.66217876107862,8.83625649145497,8.65857899831853,9.05509908383331,8.58322114613881,8.99122668189768,8.59502975281633,9.11331395501459,9.30681085632965
"SRSF7",8.87051446759446,8.58910658050411,9.2225762433131,8.89779613916248,9.30239964612382,8.56578615884271,8.69983096750919,8.31750210124527,8.8057614484455,8.74538111701204,8.55814129255617,9.04521641647198,8.13318434853904,8.55055882904697,8.32790484076144,9.07860221477527,9.06845200991209,8.89779613916248,9.40008456217109,8.76904842692215,9.44038377197777,8.36599210637417
"PNO1",4.76206423304718,4.34826604869539,5.32353730006355,5.20251146451083,4.36892095772273,4.50263321494395,4.55089247116594,4.27783878805461,4.51311375891884,4.04738682601953,4.51808451110699,4.86038045328803,4.06896366016573,4.35810402497038,3.7870695102454,4.65578678520767,4.80492599751559,4.55897915454391,4.56906316656891,3.98184284140056,5.59696112362538,3.98424530294005
"TIA1",7.1584828478682,7.54664564563231,8.26287650244971,8.97293729293932,8.30428764751387,8.14555661816137,8.0090960717828,7.09123263459757,7.37073126722833,7.69156624140046,6.53309265901708,8.36443955066848,6.9458915110164,7.39597578533927,6.89665130248211,7.70075372882686,8.44362702028943,7.88485781451649,8.10050327083418,7.08034941228133,7.84893556916598,7.74753166380764
"SRSF4",7.49779999793732,7.88588459654518,7.32368449248887,7.14732614233037,8.19791264225335,7.08391727538442,7.10221127996437,7.23262741163628,7.21712634174648,7.70978800880915,7.37073126722833,7.45745910324689,7.21884065761131,7.76788972215549,7.70741366372603,7.91295816286728,7.58588386048021,7.98629339419693,7.76324404321524,7.63112593573047,7.12735118366682,7.75970540318241
"SFPQ",8.21776482138846,8.31455011007768,8.30720883312603,8.92880975489393,8.44531341827661,8.4056415315324,8.05858592640764,8.25868995611428,8.06987994235053,8.13688038988505,7.02110210812902,8.3959755330664,7.93090265102676,8.14555661816137,8.03699590443419,8.4056415315324,8.3848201338297,8.27980189669208,8.56004661542063,8.41051133028044,8.17331434866135,8.28550872400656
"SRSF11",7.36026857296165,7.35213533643851,7.14568983693901,7.63036190506653,8.56963234350554,8.56770725705828,7.43788639738561,7.47535378264458,7.18300905097143,7.71058068880185,7.4180701876514,8.30574715298254,7.67265661424333,7.71058068880185,7.49215237478331,7.15345301537093,7.25434982859932,7.6831953477183,7.19662913362922,7.48504210040988,6.93922897171341,7.73969561966939
