"Rownames","R0.1.1","R0.2.1","R0.3.1","R0.5.1","R0.6.1","R0.7.1","R0.8.1","R0.9.1","R0.10.1","PR.2.1","PR.3.1","PR.4.1","PR.5.1","PR.7.1","PR.8.1","PR.9.1","PR.10.1","ER.1.1","ER.5.1","ER.6.1","ER.7.1","ER.10.1"
"LEKR1",2.17883361234199,1.38470174912876,1.33394015789052,3.09262623586635,2.65545842378663,2.0554904467425,1.82602409304966,2.14893413075392,2.34894972375353,0.503381085715448,1.15812788894682,0.858076640822943,0.418244827631266,-0.283263044637839,0.0676866479003193,0.462685674271781,0.852540409645727,2.19968297089601,1.28590987491022,2.57118360989075,0.782907544451874,-0.766366214402852
"CD207",2.72626641063006,7.23795204193286,4.50774003380808,4.05698122594235,6.20056638049382,4.06277646478237,4.52837419224767,6.05373933228374,3.88324763835238,3.81514178747433,0.751466588738857,4.09882163338302,0.553498120904739,2.73580515330293,2.00695704766342,2.64299883018167,2.86664271443124,1.68760715387532,4.25949824977047,2.8672713740149,4.17091740425746,2.62210596197924
"CYP3A43",1.06554410051522,0.61191577071232,-1.43046335946729,1.78698197882508,2.41588164155015,2.15497190347718,0.543353715817176,0.562682637368334,1.19679334783051,-0.266708004142885,0.344228672571293,0.282111807257859,-1.88290531405195,-0.813906822527971,-0.712367329308848,-0.786327448352223,-1.06148238842898,-0.2627929228513,-0.215925168783354,0.314296477121516,-0.813906822527971,-0.200429435310006
"HOXA3",0.775032474098815,4.16846782142769,-0.376034661915472,-1.33081442093857,1.81057313670025,0.678452782081187,0.331193460272315,2.93195788378386,1.78019688309284,3.21102874948679,0.259138865745694,2.3832682562507,3.82794047541232,1.61873922672737,5.85601412174273,5.25794170435805,4.21813382991616,5.14802539539333,4.10004090373788,5.14354855138447,6.19775272971147,3.95837968959827
"OR56A1",1.77446763676489,2.02393681209778,4.86604124366282,5.10160264014052,5.77600197526788,4.46939664779176,5.41059878355187,2.88746062085156,2.34015465303615,0.0809696920463097,1.71695974450436,-1.83430046853997,-0.906269471483004,-0.632286255907254,1.82936265273626,0.425627128802748,2.25093267200751,2.32105300343553,1.55435968590475,5.20217659985102,1.98337932088524,-0.0657899137494615
"CGNL1",5.23971548476129,5.87973782999785,4.8664002776287,5.88005332686127,5.4509946936884,6.03984444919693,7.23262741163628,5.09439102844796,5.25705142896034,4.59771205180453,3.4009011214022,4.02351079523815,6.18433059295336,4.38882359900959,5.66717236062263,4.45269984984045,3.7824117690443,3.62164245567622,3.61614717161934,2.95855848400475,4.03299028253531,4.82845625332022
"BMPR1AP1",3.2493090924102,4.64933455837826,3.7537751997454,4.0773502792945,4.71668628193967,3.54556151745088,4.17052213002145,2.78779485241795,3.72961907672359,2.8127703498703,1.68291602969365,2.59803930629944,2.17883361234199,2.48357812977031,3.19139062135686,3.20892400252796,2.65342320542585,3.75764763664496,3.23501257227833,2.80892302621819,3.07296658307666,3.2636330272457
"IFFO2",1.20870143315297,-0.455015853782661,-0.51899282177989,-1.13896191855375,-0.978373608978961,-2.24037028023166,-0.283263044637839,-0.502675055937372,0.438439294351256,1.36696926588481,1.06554410051522,-0.466442230410839,1.44685551582212,1.19217232177903,1.26374573919704,0.524990517883754,0.889696692629951,-0.0139612889592664,2.30601373830248,0.233646300923628,0.382574150084846,1.67352010348312
"AGBL3",3.08316259976642,1.73362341973787,2.70667652184025,3.20356554542463,3.19647096037254,4.34618288879846,2.90505642256807,2.93899827569568,2.87543803600657,2.2194727566107,1.81271265695712,2.55711223115086,1.73925188976602,1.29283386765215,0.878826122617296,0.949282024738794,1.70465519063316,2.47428015058608,3.44248884696127,1.8335431373674,1.34798858334878,1.19679334783051
"ADCY5",3.39101067490068,3.68195117397367,2.70392114707131,3.88405453652097,3.51165947021474,3.43623175330317,3.89129569702533,4.05264410235966,3.55512828115492,1.99511184030796,1.52899395640332,1.96222006355086,1.76903466593411,0.128751699573889,2.0259835057198,2.66560219072625,2.50995053649607,0.620977913363815,2.44150297771531,1.72388665798991,4.94288480348758,2.60304663715766
"BMP3",0.841322085945866,1.69540509231657,1.01098365754313,-1.88290531405195,1.00563473889002,0.0230610750691724,2.17499664761103,1.64468622580675,-1.39899117236456,-1.21342871611815,0.46497387339321,-2.38441753576491,-2.44708338555486,-0.961877991136217,-0.650628377472177,-1.37000528897012,-2.9894303906846,-0.0275640479581742,-1.1296040900204,-1.9649465924087,-0.310717051412296,-2.57575626982724
